acclaim acclaimed
act act
actually actually
affair affair
affirm affirm
amo amos
amos amos
anxiety anxiety
approach approach approached
arguably arguably
assure assured
atonal atonal
away away
awesome awesome
band band
bandcamp bandcamp
bandmate bandmate
barely barely
bass bass
beach beach
beautiful beautiful
beef beefs
benefit benefit
blas blas
bold bolder
bop bopping
box box
boy boy boys
breathe breathe
breathy breathy
breezy breezy
bring bring brings
brown brown
buddy buddy
career career
catalog catalog
center center
chaos chaos
charming charming
cheek cheek
chord chords
clanging clanging
clean cleaned
clear clearer
coast coasting
come come
compassion compassion
conclusion conclusion
confidence confidence
confront confronts
control controlled
convey conveyed
couple couple
crank cranks
create created
croon croons
cut cuts
date date dating
day days
debut debut
december december
deflection deflection
demo demo
distorted distorted
double double
drastic drastic
dream dreams
drop dropped
ear ear
early earlier early
effacement effacement
effect effect
effort efforts
emphasis emphasis
endemic endemic
ep eps
evolve evolved
excited excited
expectation expectations
experiment experiment experiments
extensive extensive
eye eyes
fall fall falls
falsetto falsetto
feel feel feels
find found
flesh flesh
flourish flourishes
force force
forefront forefront
fuller fuller
fun fun
fuzz fuzz
gain gained
genre genre
genuine genuine
get got
gg gg
guitar guitars
ham hams
head head
heartedly heartedly
heartstring heartstrings
hell hell
highlight highlights
holistic holistic
holo holo
hook hooks
humor humor
humorous humorous
idea idea
imago imagines
imbue imbue
importance importance
impressive impressive
inexplicably inexplicably
influence influenced
instrumental instrumental
integrative integrative
intend intended
intentionally intentionally
ironic ironic
jangly jangly
jaunty jaunty
joke joke
joy joy
kick kicked
know knowing
label label
languid languid
later later
lead lead
length length
let letting
lever lever
lieu lieu
life life
light light
lightweight lightweight
like like
live live
lorelei lorelei
loser loser
low lower
lp lp
makeover makeover
man man
material material
melody melodies melody
money money
month months
mouth mouth
move moving
nate nate
new new
official official
old older
orchestral orchestral
original original
originally originally
park park
particularly particularly
period period
person person
piano piano
place place places
point point
poke poke
polish polishes
pop pop
power power
pre pre
previously previously
production production
project project
prospect prospect
provoke provoke
pull pulls
put puts
quaver quavering
rachel rachel
ready ready
recent recent
record record recorded recording
reevaluate reevaluating
reexamine reexamine
register register
reimagine reimagining
reinterpretation reinterpretation reinterpretations
release release
remember remember
resignation resignation
revamp revamped
reveal reveal
review reviewed
revisit revisits
rich richer
ride ride
right right
rock rock
sand sanded
sandbox sandbox
science science
second second
selection selection
self self
sense sense
seriously seriously
sf sf
shine shine
shiny shinier
shorn shorn
singer singer
singing singing
single single singles
slapdash slapdash
sleep sleeping
slowcore slowcore
snip snip
sobriety sobriety
solo solo
song song songs
songwrite songwriting
songwriter songwriter
sound sound sounds
speak spoken
specifically specifically
spitballe spitballing
spot spot
stage stage
star star
straight straight
strangely strangely
string strings
study study
style styles
sue sue
suggest suggesting
swaggering swaggering
sweet sweet
swell swell
take takes taking
tightly tightly
time time
tinny tinny
title title
to ta
tongue tongue
tour tour touring
track track tracks
traction traction
trope tropes
tug tug
tune tunes
twinkle twinkle
undeniably undeniably
universe universe
unshakeable unshakeable
valiant valiant
varied varied
vital vital
vocal vocal vocals
voice voice
vulnerability vulnerability
wake wake woke
want wanted
water water
way way
wayside wayside
week week
whammy whammy
wholly wholly
win wins
word words
work work works
year year
